id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche
,2012-01-01,,,8.0,9.825,14.0,58.0,
,2012-01-02,,,7.0,7.4375,12.0,,
,2012-01-03,,,8.0,5.5375,18.0,63.0,
,2012-01-04,,,4.0,5.6875,19.0,80.0,
,2012-01-05,,,6.0,5.3,23.0,80.0,
,2012-01-06,,,3.0,2.625,10.0,,
,2012-01-07,,,7.0,6.528571,14.0,61.0,
,2012-01-08,,,7.0,5.9625,10.0,80.0,
,2012-01-09,,,8.0,5.15,12.0,61.0,
,2012-01-10,,,6.0,6.1125,10.0,,
,2012-01-11,,,6.0,7.8625,16.0,51.0,
,2012-01-12,,,7.0,7.4375,25.0,61.0,
,2012-01-13,,,2.0,4.8,18.0,,
,2012-01-14,,,3.0,2.8875,10.0,,
,2012-01-15,,,1.0,2.225,6.0,,
,2012-01-16,,,8.0,3.0625,6.0,61.0,
,2012-01-17,,,6.0,4.4875,10.0,,
,2012-01-18,,,7.0,2.35,12.0,51.0,
,2012-01-19,,,8.0,5.2625,16.0,80.0,
,2012-01-20,,,6.0,3.4375,12.0,26.0,
,2012-01-21,,,7.0,3.5375,16.0,68.0,
,2012-01-22,,,6.0,3.7875,12.0,21.0,
,2012-01-23,,,5.0,2.2125,4.0,10.0,
,2012-01-24,,,3.0,1.7625,6.0,,
,2012-01-25,,,3.0,-0.1875,8.0,,
,2012-01-26,,,2.0,0.3625,12.0,,
,2012-01-27,,,8.0,-1.0,10.0,71.0,
,2012-01-28,,,6.0,-1.3875,10.0,10.0,
,2012-01-29,,,7.0,-3.1625,8.0,71.0,
,2012-01-30,,,3.0,-2.275,12.0,,
,2012-01-31,,,1.0,-2.375,18.0,,
,2012-02-01,,,7.0,-1.825,16.0,71.0,
,2012-02-02,,,6.0,-5.85,8.0,85.0,
,2012-02-03,,,4.0,-5.85,14.0,3.0,
,2012-02-04,,,4.0,-7.5375,10.0,71.0,
,2012-02-05,,,5.0,-7.7125,8.0,,
,2012-02-06,,,4.0,-10.25,6.0,10.0,
,2012-02-07,,,6.0,-3.0,18.0,71.0,
,2012-02-08,,,6.0,-2.7625,10.0,,
,2012-02-09,,,6.0,-1.6625,21.0,3.0,
,2012-02-10,,,6.0,-2.8125,8.0,71.0,
,2012-02-11,,,7.0,-4.575,8.0,78.0,
,2012-02-12,,,8.0,-1.2375,16.0,72.0,
,2012-02-13,,,6.0,-2.325,8.0,10.0,
,2012-02-14,,,8.0,1.3,10.0,47.0,
,2012-02-15,,,1.0,4.8625,18.0,,
,2012-02-16,,,7.0,2.9625,10.0,61.0,
,2012-02-17,,,5.0,5.5625,14.0,,
,2012-02-18,,,8.0,6.175,14.0,61.0,
,2012-02-19,,,4.0,4.2,18.0,25.0,
,2012-02-20,,,5.0,4.1125,14.0,,
,2012-02-21,,,8.0,4.95,14.0,58.0,
,2012-02-22,,,7.0,7.175,18.0,51.0,
,2012-02-23,,,6.0,8.4125,18.0,,
,2012-02-24,,,7.0,8.35,19.0,20.0,
,2012-02-25,,,6.0,6.525,19.0,61.0,
,2012-02-26,,,1.0,4.675,8.0,,
,2012-02-27,,,8.0,3.725,12.0,61.0,
,2012-02-28,,,8.0,7.675,14.0,51.0,
,2012-02-29,,,8.0,7.775,10.0,47.0,
,2012-03-01,,,6.0,7.625,12.0,43.0,
,2012-03-02,,,7.0,5.9125,6.0,28.0,
,2012-03-03,,,5.0,7.0375,14.0,,
,2012-03-04,,,7.0,4.675,8.0,,
,2012-03-05,,,7.0,4.875,10.0,,
,2012-03-06,,,4.0,4.5125,10.0,,
,2012-03-07,,,7.0,4.05,10.0,61.0,
,2012-03-08,,,2.0,7.5125,14.0,,
,2012-03-09,,,8.0,7.825,14.0,10.0,
,2012-03-10,,,6.0,8.7,19.0,10.0,
,2012-03-11,,,6.0,8.95,14.0,,
,2012-03-12,,,5.0,9.0125,18.0,,
,2012-03-13,,,6.0,9.95,16.0,1.0,
,2012-03-14,,,7.0,7.7875,10.0,,
,2012-03-15,,,6.0,7.4,8.0,,
,2012-03-16,,,3.0,12.0375,14.0,10.0,
,2012-03-17,,,6.0,9.775,14.0,10.0,
,2012-03-18,,,7.0,9.8375,16.0,61.0,
,2012-03-19,,,4.0,8.1125,18.0,,
